weight_lightgbm,weight_xgboost,weight_random_forest,rmse,mae,r2,exact_match_hits_rounded,exact_match_rate_rounded,bucket_accuracy_0_1_2_3plus,n_samples
0.6,0.1,0.3,0.9125675010440092,0.6317485564098502,0.27460167567913585,4714,0.5366575591985429,0.5443989071038251,8784
0.6,0.15,0.25,0.9129358320772004,0.6314131297258455,0.27401598610549627,4717,0.5369990892531876,0.5448542805100182,8784
0.6,0.2,0.2,0.9135032395116448,0.6311861169926292,0.27311327920504525,4732,0.5387067395264117,0.5466757741347905,8784
0.6,0.25,0.15,0.9142693526992168,0.6311098037879411,0.27189355497778345,4737,0.539275956284153,0.5472449908925319,8784
0.6,0.3,0.1,0.915233672649131,0.6311771496678651,0.27035681342371043,4756,0.5414389799635702,0.5492941712204007,8784
0.6,0.35,0.05,0.9163955736446926,0.6313832554005698,0.2685030545428263,4766,0.5425774134790529,0.5505464480874317,8784
0.6,0.4,0.0,0.9177543052578668,0.6317129195370008,0.26633227833513107,4763,0.542235883424408,0.5504326047358834,8784
0.65,0.0,0.35,0.9131244482398148,0.6323098452044096,0.27371597276526294,4713,0.5365437158469946,0.5441712204007286,8784
0.65,0.05,0.3,0.9132432785751439,0.6318070608609794,0.2735269291133673,4724,0.5377959927140255,0.5457650273224044,8784
0.65,0.1,0.25,0.9135613057321801,0.6314420107824643,0.27302086813466053,4721,0.5374544626593807,0.5454234972677595,8784
0.65,0.15,0.2,0.914078321796601,0.6312014286286951,0.27219778982914256,4730,0.5384790528233151,0.546448087431694,8784
0.65,0.2,0.15,0.9147939893795167,0.6310934332905507,0.2710576941968137,4739,0.5395036429872495,0.5474726775956285,8784
0.65,0.25,0.1,0.9157078427152892,0.6311213708673844,0.2696005812376735,4754,0.5412112932604736,0.5491803278688525,8784
0.65,0.3,0.05,0.9168192891702718,0.6313108313107195,0.2678264509517223,4760,0.5418943533697632,0.5497495446265938,8784
0.65,0.35,0.0,0.9181276111511257,0.6316411669573645,0.26573530333896,4764,0.5423497267759563,0.5502049180327869,8784
0.7,0.0,0.3,0.914040249820938,0.6319472894549432,0.272258415467725,4715,0.536771402550091,0.5446265938069217,8784
0.7,0.05,0.25,0.9143080092073768,0.6315449957441926,0.27183198308395096,4716,0.5368852459016393,0.5448542805100182,8784
0.7,0.1,0.2,0.9147746381966361,0.6312868098124199,0.27108853337336614,4731,0.5385928961748634,0.5465619307832422,8784
0.7,0.15,0.15,0.9154398326781574,0.6311645959349004,0.2700280663359701,4741,0.5397313296903461,0.5477003642987249,8784
0.7,0.2,0.1,0.9163031602034535,0.6311619958388871,0.26865058197176284,4757,0.5415528233151184,0.5495218579234973,8784
0.7,0.25,0.05,0.9173640613861298,0.6313219072850065,0.2669560802807447,4754,0.5412112932604736,0.5491803278688525,8784
